site,species,trait,env,value
307,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.394045746,0
308,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.350827751,0
31,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.204336506,0
32,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.47217441,0
33,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.08153109,0
34,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.82110221,0
35,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.283967644,0
38,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.503829718,0
39,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.774024681,0
407,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.905741596,0
409,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.480438019,0
410,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.425096882,0
411,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.936792732,0
412,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.667496071,0
43,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.425096882,9
45,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.202583619,0
49,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.692640656,0
50,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-1.099560782,0
51,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.285720531,0
53,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.82110221,0
81,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,0.69088777,0
83,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,1.423343995,0
84,Amelanchier alnifolia ssp. semiintegrifolia,-0.468757701,-0.070866705,0
109,Amelanchier utahensis,-0.098386548,-0.350827751,4
113,Amelanchier utahensis,-0.098386548,-0.774024681,0
12,Amelanchier utahensis,-0.098386548,1.667496071,0
156,Amelanchier utahensis,-0.098386548,1.01642387,0
157,Amelanchier utahensis,-0.098386548,1.34195997,0
160,Amelanchier utahensis,-0.098386548,-1.392543272,0
161,Amelanchier utahensis,-0.098386548,-0.936792732,0
163,Amelanchier utahensis,-0.098386548,-1.197221612,0
164,Amelanchier utahensis,-0.098386548,-0.285720531,0
185,Amelanchier utahensis,-0.098386548,1.423343995,0
187,Amelanchier utahensis,-0.098386548,0.69088777,0
188,Amelanchier utahensis,-0.098386548,1.01642387,0
190,Amelanchier utahensis,-0.098386548,0.75599499,0
191,Amelanchier utahensis,-0.098386548,0.609503745,0
192,Amelanchier utahensis,-0.098386548,-1.587864932,0
193,Amelanchier utahensis,-0.098386548,0.75599499,0
194,Amelanchier utahensis,-0.098386548,0.300244449,0
223,Amelanchier utahensis,-0.098386548,-1.099560782,0
224,Amelanchier utahensis,-0.098386548,-0.448488581,0
225,Amelanchier utahensis,-0.098386548,-1.099560782,0
226,Amelanchier utahensis,-0.098386548,-1.262328832,0
227,Amelanchier utahensis,-0.098386548,-1.262328832,0
230,Amelanchier utahensis,-0.098386548,-0.448488581,0
247,Amelanchier utahensis,-0.098386548,0.69088777,0
248,Amelanchier utahensis,-0.098386548,1.01642387,0
250,Amelanchier utahensis,-0.098386548,-0.285720531,0
29,Amelanchier utahensis,-0.098386548,-0.774024681,0
30,Amelanchier utahensis,-0.098386548,-0.936792732,0
306,Amelanchier utahensis,-0.098386548,1.34195997,0
307,Amelanchier utahensis,-0.098386548,1.394045746,0
308,Amelanchier utahensis,-0.098386548,-0.350827751,0
31,Amelanchier utahensis,-0.098386548,-0.204336506,0
32,Amelanchier utahensis,-0.098386548,1.47217441,0
33,Amelanchier utahensis,-0.098386548,1.08153109,0
34,Amelanchier utahensis,-0.098386548,0.82110221,0
35,Amelanchier utahensis,-0.098386548,0.283967644,0
38,Amelanchier utahensis,-0.098386548,-0.503829718,0
39,Amelanchier utahensis,-0.098386548,-0.774024681,0
407,Amelanchier utahensis,-0.098386548,0.905741596,0
409,Amelanchier utahensis,-0.098386548,-1.480438019,0
410,Amelanchier utahensis,-0.098386548,-1.425096882,0
411,Amelanchier utahensis,-0.098386548,-0.936792732,0
412,Amelanchier utahensis,-0.098386548,1.667496071,0
43,Amelanchier utahensis,-0.098386548,-1.425096882,0
45,Amelanchier utahensis,-0.098386548,0.202583619,0
49,Amelanchier utahensis,-0.098386548,-0.692640656,0
50,Amelanchier utahensis,-0.098386548,-1.099560782,0
51,Amelanchier utahensis,-0.098386548,-0.285720531,0
53,Amelanchier utahensis,-0.098386548,0.82110221,0
81,Amelanchier utahensis,-0.098386548,0.69088777,5
83,Amelanchier utahensis,-0.098386548,1.423343995,0
84,Amelanchier utahensis,-0.098386548,-0.070866705,0
109,Aralia californica,-0.833708279,-0.350827751,0
113,Aralia californica,-0.833708279,-0.774024681,0
12,Aralia californica,-0.833708279,1.667496071,0
156,Aralia californica,-0.833708279,1.01642387,0
157,Aralia californica,-0.833708279,1.34195997,0
160,Aralia californica,-0.833708279,-1.392543272,0
161,Aralia californica,-0.833708279,-0.936792732,0
163,Aralia californica,-0.833708279,-1.197221612,0
164,Aralia californica,-0.833708279,-0.285720531,0
185,Aralia californica,-0.833708279,1.423343995,0
187,Aralia californica,-0.833708279,0.69088777,0
188,Aralia californica,-0.833708279,1.01642387,0
190,Aralia californica,-0.833708279,0.75599499,0
191,Aralia californica,-0.833708279,0.609503745,0
192,Aralia californica,-0.833708279,-1.587864932,0
193,Aralia californica,-0.833708279,0.75599499,0
194,Aralia californica,-0.833708279,0.300244449,0
223,Aralia californica,-0.833708279,-1.099560782,0
224,Aralia californica,-0.833708279,-0.448488581,0
225,Aralia californica,-0.833708279,-1.099560782,0
226,Aralia californica,-0.833708279,-1.262328832,0
227,Aralia californica,-0.833708279,-1.262328832,0
230,Aralia californica,-0.833708279,-0.448488581,0
247,Aralia californica,-0.833708279,0.69088777,0
248,Aralia californica,-0.833708279,1.01642387,0
250,Aralia californica,-0.833708279,-0.285720531,0
29,Aralia californica,-0.833708279,-0.774024681,0
30,Aralia californica,-0.833708279,-0.936792732,0
306,Aralia californica,-0.833708279,1.34195997,0
307,Aralia californica,-0.833708279,1.394045746,0
308,Aralia californica,-0.833708279,-0.350827751,0
31,Aralia californica,-0.833708279,-0.204336506,0
32,Aralia californica,-0.833708279,1.47217441,0
33,Aralia californica,-0.833708279,1.08153109,0
34,Aralia californica,-0.833708279,0.82110221,0
35,Aralia californica,-0.833708279,0.283967644,0
38,Aralia californica,-0.833708279,-0.503829718,0
39,Aralia californica,-0.833708279,-0.774024681,6
407,Aralia californica,-0.833708279,0.905741596,0
409,Aralia californica,-0.833708279,-1.480438019,0
410,Aralia californica,-0.833708279,-1.425096882,0
411,Aralia californica,-0.833708279,-0.936792732,0
412,Aralia californica,-0.833708279,1.667496071,0
43,Aralia californica,-0.833708279,-1.425096882,0
45,Aralia californica,-0.833708279,0.202583619,0
49,Aralia californica,-0.833708279,-0.692640656,0
50,Aralia californica,-0.833708279,-1.099560782,0
51,Aralia californica,-0.833708279,-0.285720531,0
53,Aralia californica,-0.833708279,0.82110221,0
81,Aralia californica,-0.833708279,0.69088777,0
83,Aralia californica,-0.833708279,1.423343995,0
84,Aralia californica,-0.833708279,-0.070866705,0
109,Arbutus menziesii,0.991187718,-0.350827751,0
113,Arbutus menziesii,0.991187718,-0.774024681,23
12,Arbutus menziesii,0.991187718,1.667496071,36
156,Arbutus menziesii,0.991187718,1.01642387,14
157,Arbutus menziesii,0.991187718,1.34195997,30
160,Arbutus menziesii,0.991187718,-1.392543272,0
161,Arbutus menziesii,0.991187718,-0.936792732,0
163,Arbutus menziesii,0.991187718,-1.197221612,0
164,Arbutus menziesii,0.991187718,-0.285720531,0
185,Arbutus menziesii,0.991187718,1.423343995,63
187,Arbutus menziesii,0.991187718,0.69088777,25
188,Arbutus menziesii,0.991187718,1.01642387,8
190,Arbutus menziesii,0.991187718,0.75599499,0
191,Arbutus menziesii,0.991187718,0.609503745,0
192,Arbutus menziesii,0.991187718,-1.587864932,0
193,Arbutus menziesii,0.991187718,0.75599499,0
194,Arbutus menziesii,0.991187718,0.300244449,0
223,Arbutus menziesii,0.991187718,-1.099560782,8
224,Arbutus menziesii,0.991187718,-0.448488581,2
225,Arbutus menziesii,0.991187718,-1.099560782,5
226,Arbutus menziesii,0.991187718,-1.262328832,0
227,Arbutus menziesii,0.991187718,-1.262328832,30
230,Arbutus menziesii,0.991187718,-0.448488581,0
247,Arbutus menziesii,0.991187718,0.69088777,33
248,Arbutus menziesii,0.991187718,1.01642387,29
250,Arbutus menziesii,0.991187718,-0.285720531,0
29,Arbutus menziesii,0.991187718,-0.774024681,3
30,Arbutus menziesii,0.991187718,-0.936792732,14
306,Arbutus menziesii,0.991187718,1.34195997,20
307,Arbutus menziesii,0.991187718,1.394045746,20
308,Arbutus menziesii,0.991187718,-0.350827751,1
31,Arbutus menziesii,0.991187718,-0.204336506,22
32,Arbutus menziesii,0.991187718,1.47217441,3
33,Arbutus menziesii,0.991187718,1.08153109,36
34,Arbutus menziesii,0.991187718,0.82110221,4
35,Arbutus menziesii,0.991187718,0.283967644,0
38,Arbutus menziesii,0.991187718,-0.503829718,24
39,Arbutus menziesii,0.991187718,-0.774024681,8
407,Arbutus menziesii,0.991187718,0.905741596,12
409,Arbutus menziesii,0.991187718,-1.480438019,0
410,Arbutus menziesii,0.991187718,-1.425096882,0
411,Arbutus menziesii,0.991187718,-0.936792732,14
412,Arbutus menziesii,0.991187718,1.667496071,4
43,Arbutus menziesii,0.991187718,-1.425096882,0
45,Arbutus menziesii,0.991187718,0.202583619,17
49,Arbutus menziesii,0.991187718,-0.692640656,0
50,Arbutus menziesii,0.991187718,-1.099560782,0
51,Arbutus menziesii,0.991187718,-0.285720531,2
53,Arbutus menziesii,0.991187718,0.82110221,11
81,Arbutus menziesii,0.991187718,0.69088777,33
83,Arbutus menziesii,0.991187718,1.423343995,3
84,Arbutus menziesii,0.991187718,-0.070866705,0
109,Asarum caudatum,-0.732177277,-0.350827751,0
113,Asarum caudatum,-0.732177277,-0.774024681,0
12,Asarum caudatum,-0.732177277,1.667496071,0
156,Asarum caudatum,-0.732177277,1.01642387,0
